SNname,HostName,PSN,type,redshifts,OtherName,Nobs,targetids,SNra,SNdec,AV,AVerr,AVsour,HostRa,HostDec,Long,Lat,Redshift,Morphology,host_velocity,host_vel_err,host_vel_corr,host_vel_corr_err,Discover_date,Last_non-detection_date,template_status,max_ks,filters_used,notes,Explosion_Date,ExpDateReference,ExpDateReferenceLinks,ExpDateMethod,other_SNe,best_dm,best_dm_err,best_dm_method,best_dm_ref,Hubble_dm_ref,UVM2_DatPoints,Cep_dm,Cep_dm_err,Cep_dm_ref,SBF_dm,SBF_dm_err,SBF_dm_ref,TRGB_dm,TRGB_dm_err,TRGB_dm_ref,end,Hubble_dm,Hubble_dm_err
SN2007gi,NGC 4036,,Ia,0.00482,,5,,'12:01:23.42,+61:53:33.8,0.063,0.0063,S_F_2011,12h01m26.891s,61d53m44.52s,132.979841,54.246531,0.00462,S0-            LINER,1385,5,1857,21,'2007-07-31,,done,4,,Zhang  T.  et al. 2010  PASP  122  1 and Milne  P. A.  et al. 2010  ApJ  721  1627,,,,,,31.389445044371122,0.801376548,HF,,,3,,,ref,,,ref,,,,end,31.389445044371122,0.7992468137196869
SN2007I,A115913-0136,,Ic-bl,0.021639,,2,,'11:59:13.15,-01:36:18.9,0.078,0.0078,S_F_2011,,,,,,,,,,,'2007-01-14,,done,8,,,x,,,,,,,,,,0,,,ref,,,ref,,,,end,,
SN2007od,UGC 12846,,II,0.005784,,12,,'23:55:48.68,+18:24:54.8,0.09,0,"Brown_walker_2020,S_F_2011",23h55m46.0248s,18d25m33.6036s,104.904876,-42.489619,0.005784,Sm:,1734,3,1794,17,'2007-11-02,,done,9,,Inserra  C.   et al. 2011  MNRAS  417  261,245 4403 pm 1.5,Inserra_etal_2012,https://ui.adsabs.harvard.edu/abs/2012MNRAS.422.1178I/abstract,spectral fitting,,31.877441643069744,0.673217986,HF,Inserra_etal_2012,,10,,,ref,,,A10,,,,end,31.877441643069744,0.670681409906054
SN2007on,NGC 1404,,Ia,0.006494,,13,,'03:38:50.90,-35:34:30.0,0.031,0.0031,S_F_2011,3h38m51.917s,-35d35m39.81s,236.955314,-53.554692,0.006494,NELG           ALG,1947,4,1886,13,'2007-11-05,,done,13,,Milne  P. A.  et al. 2010  ApJ  721  1627,,,,,,31.45,0.19,SBF,SBF_Jensen_etal_2003,,23,,,ref,31.45,0.19,SBF_Jensen_etal_2003,,,,end,32.12902593496894,0.6172971901076133
SN2007pk,NGC 579,,IIn,0.016655,,16,,'01:31:47.07,+33:36:54.1,0.14,0.014,S_F_2011,1h31m46.5057s,33d36m55.9871s,132.4833428,-28.5069074,0.016655,Scd:,4993,4,4886,21,'2007-11-10,,done,12,,Pritchard  T. A.  et al. 2012  ApJ  750  128,x,,,,,34.174004007644335,0.400863508,HF,,,9,,,ref,,,ref,,,,end,34.174004007644335,0.3965887659510599
SN2007S,UGC 5378,,Ia,0.01388,,33,,'10:00:31.26,+04:24:26.2,0.065,0,"Brown_walker_2020,S_F_2011",10h00m31.9918s,4d24m25.6711s,234.366878,43.384852,0.01388,Sb             HII,4161,10,4561,33,'2007-01-29,,done,5,,Brown  P. J.  et al. 2009  AJ  137  4517,,,,,,33.77818475633352,0.422450774,HF,,,0,,,ref,,,ref,,,,end,33.77818475633352,0.4183966460386908
SN2007sr,NGC 4038,,Ia,0.005688,,37,,'12:01:52.80,-18:58:21.7,0.11,0,"Brown_walker_2020,S_F_2011",12h01m53.002s,-18d52m03.32s,286.9586941,42.4619738,0.005477,SB(s)m pec,1642,12,1702,31,'2007-12-18,,done,11,,Milne  P. A.  et al. 2010  ApJ  721  1627,,,,,,31.378,0.1183,Cepheid,Cepheids_Riess_etal_2016,,20,31.378,0.1183,Cepheids_Riess_etal_2016,,,ref,,,,end,31.759061941285896,0.6995619475046818
SN2007uy,NGC 2770,,Ib ,0.006494,,41,,'09:09:35.40,+33:07:09.9,0.06,0.006,S_F_2011,9h09m33.622s,33d07m24.29s,191.569968,42.196854,0.006494,SA(s)c:,1947,2,2284,20,'2007-12-31,,done,30,,Roy  R. 2013  MNRAS  434  2032,,,,,,32.12902593496894,0.619988375,HF,,,9,,,ref,,,ref,,,,end,32.12902593496894,0.6172330857420201
SN2007Y,NGC 1187,,Ibc,0.004637,,20,,'03:02:35.92,-22:53:50.1,0.058,0.0058,S_F_2011,3h02m37.5891s,-22d52m02.4631s,212.090907,-60.056203,0.004637,SB(r)c         HII,1390,3,1325,8,'2007-02-15,,done,10,,Stritzinger  M.  et al.  2009  696  713,54145,Stritzinger_etal_2009,https://ui.adsabs.harvard.edu/abs/2009ApJ...696..713S/abstract,,,31.39727017863926,0.798906302,HF,Stritzinger_etal_2009,,3,,,ref,,,ref,,,,end,31.39727017863926,0.7967699646771372
SN2008A,NGC 634,,Ia-02cx,0.016428,,17,,'01:38:17.38,+35:22:13.7,0.12,0,"Brown_walker_2020,S_F_2011",1h38m18.679s,35d21m53.47s,133.600254,-26.533974,0.016428,Sa,4925,8,4823,23,'2008-01-02,,done,5,,Milne  P. A.  et al. 2010  ApJ  721  1627,,,,,,34.14422735153694,0.402314288,HF,,,5,,,ref,,,ref,,,,end,34.14422735153694,0.3980551257495761
SN2008ae,IC 577,,Ia-02cx,0.030002,,6,,'09:56:03.20,+10:29:58.8,0.074,0.0074,S_F_2011,9h56m03.9718s,10d29m55.8492s,226.247629,45.580784,0.030002,S?,8994,29,9369,40,'2008-02-09,,done,3,,,,,,,,35.4519605935284,0.36494567,HF,,,0,,,ref,,,ref,,,,end,35.4519605935284,0.36024497147903667
SN2008am,A122836+1534,,IIn,0.234,,6,,'12:28:36.25,+15:34:49.1,0.067,0.0067,S_F_2011,,,,,,,,,,,'2008-01-10,,done,5,,Chatzopoulos  E.  et al. 2011  ApJ  729  143,x,,,,,,,,,,2,,,ref,,,ref,,,,end,,
SN2008aq,MCG -02-33-20,,IIb,0.007972,,7,,'12:50:30.36,-10:52:01.3,0.119,0.0119,S_F_2011,12h50m29.414s,-10d51m15.89s,302.553779,52.016643,0.007972,SB(s)m,2390,5,2572,26,'2008-02-27,,done,7,,Pritchard  T. A.  et al. 2013  arXiv1303.1190,x,,,,,32.57418568210947,0.543819503,HF,,,0,,,ref,,,ref,,,,end,32.57418568210947,0.5406761958047125
SN2008aw,NGC 4939,,II,0.010374,,9,,'13:04:14.11,-10:19:12.9,0.109,0.0109,S_F_2011,13h04m14.3282s,-10d20m22.3165s,308.096879,52.403713,0.010374,SA(s)bc        Sy2,3110,4,3403,27,'2008-03-02,,done,7,,Pritchard  T. A.  et al. 2013  arXiv1303.1190,54526.5,,,discover - 1.5 days,,33.145998122502974,0.47328088,HF,,,6,,,ref,,,ref,,,,end,33.145998122502974,0.469665719708977
SN2008ax,NGC 4490,,IIb,0.001885,,20,,'12:30:40.80,+41:38:16.1,0.058,0.0058,S_F_2011,12h30m36.368s,41d38m37.07s,137.9960108,74.8694123,0.001885,SB(s)d pec     HII,565,3,673,5,'2008-03-03,,done,15,,Roming  P. W. A.  et al. 2009  ApJL  704  118,"JD = 2,454,528.80",Folatelli_etal_2015,https://ui.adsabs.harvard.edu/abs/2015ApJ...811..147F/abstract,,,29.44243841646598,1.80384446,HF,Folatelli_etal_2015,,1,,,ref,,,ref,,,,end,29.44243841646598,1.8028993133990427
SN2008bo,NGC 6643,,Ib,0.00495,,46,,'18:19:54.41,+74:34:21.0,0.16,0.016,S_F_2011,18h19m46.37s,74d34m06.23s,105.535697,28.174695,0.00495,SA(rs)c,1484,1,1882,18,'2008-03-31,,done,24,,Pritchard  T. A.  et al. 2013  arXiv1303.1190,x,,,,,31.539365682083826,0.758059655,HF,,,0,,,ref,,,ref,,,,end,31.539365682083826,0.7558078704761702
SN2008cg,PGC 91487,,Ia-CSM?,0.036,,2,,'15:54:15.15,+10:58:25.0,0.145,0.0145,S_F_2011,15h54m15.3137s,10d58m10.0164s,21.407443,44.182397,0.036168,Scd,10843,5,11456,27,'2008-05-05,,done,7,,,,,,,,35.8579434662361,0.359268857,HF,,,0,,,ref,,,ref,,,,end,35.8579434662361,0.3544928897661669
SN2008D,NGC 2770,,Ib,0.006494,,40,,'09:09:30.625,+33:08:20.16,0.061,0.0061,S_F_2011,9h09m33.622s,33d07m24.29s,191.569968,42.196854,0.006494,SA(s)c:,1947,2,2284,20,'2008-01-11,,done,30,,Soderberg  A. M.  et al. 2008  Nature  453  469 and Modjaz  M.  et al. 2009  ApJ  702  226,,,,,,32.12902593496894,0.619988375,HF,,,0,,,ref,,,ref,,,,end,32.12902593496894,0.6172330857420201
SN2008dq,UGC 10214,,Ic,0.031358,,2,,'16:06:03.11,+55:25:37.4,0.02,0,"Brown_walker_2020,S_F_2011",16h06m03.94s,55d25m31.33s,85.760637,45.15944,0.031358,SB(s)c pec,9401,15,9798,21,'2008-06-25,,skip,6,,,x,,,,,35.54806644078365,0.363238006,HF,,,,,,ref,,,ref,,,,end,35.54806644078365,0.35851491716680567
SN2008dx,NGC 4898A,,Ia-91bg,0.035,ROTSE3J1300143+275716,2,,'13:00:14.31,+27:57:16.4,0.027,0.0027,S_F_2011,13h00m17.6794s,27d57m18.9552s,56.2865696,87.8697268,0.023026,E              RET,6903,12,7481,30,'2008-06-24,,done,3,,,,,,,,34.877385544310314,0.376330385,HF,,,0,,,ref,,,ref,,,,end,34.877385544310314,0.371773661957865
SN2008eb,NGC 6574,,Ic,0.007612,,2,,'18:11:52.17,+14:58:50.6,0.472,0.0472,S_F_2011,18h11m51.2462s,14d58m54.7405s,42.145907,15.404586,0.007612,SAB(rs)bc:     Sy2,2282,5,2764,19,'2008-07-07,,skip,6,,,x,,,,,32.47377437777977,0.559207591,HF,,,,,,ref,,,ref,,,,end,32.47377437777977,0.5561512629629991
SN2008ec,NGC 7469,,Ia,0.016317,,20,,'23:03:16.56,+08:52:19.8,0.184,0.0184,S_F_2011,23h03m15.674s,8d52m25.28s,83.0985253,-45.4666436,0.016317,(R')SAB(rs)a   Sy1.2,4892,2,4891,18,'2008-07-14,,done,6,,Milne  P. A.  et al. 2010  ApJ  721  1627,,,,,,34.12962841919003,0.402930632,HF,,,0,,,ref,,,ref,,,,end,34.12962841919003,0.39867805511911286
SN2008es,A115649+5427,,SLSN-II,0.205,,22,,'11:56:49.13,+54:27:25.7,0.031,0.0031,S_F_2011,,,,,,,61757,1499,61970,1499,'2008-04-26,,done,11,,Gezari  S.  et al. 2009  ApJ  690  1313 and Miller  A. A.  et al. 2009  ApJ  690  1303,54590,,,ten days before first observation,,39.63562713189169,0.368177115,HF,,,10,,,ref,,,ref,,,,end,39.63562713189169,0.3635182049354496
SN2008ex,UGC 11428,,IIn,0.013159,,2,,'19:20:28.68,+30:49:42.0,0.609,0.0609,S_F_2011,19h20m28.528s,30d49m31.8838s,63.618999,7.87922,0.013159,Scd:,3945,11,4322,20,'2008-08-17,,done,4,,,x,,,,,33.66243121509598,0.430130798,HF,,,0,,,ref,,,ref,,,,end,33.66243121509598,0.42614973914818854
SN2008fz,A231616+1142,,Ic,0.133,,2,,'23:16:16.60,+11:42:47.5,0.114,0.0114,S_F_2011,,,,,,,,,,,'2008-09-22,,clean,3,,,x,,,,,,,,,,,,,ref,,,ref,,,,end,,
SN2008ge,NGC 1527,,Ia,0.004043,,4,,'04:08:24.68,-47:53:47.4,0.034,0.0034,S_F_2011,4h08m24.09s,-47d53m48.9692s,255.146056,-46.709611,0.004043,SA(r)0^0,1212,17,1112,22,'2008-10-08,,done,3,,,,,,,,31.28,0.22,SBF,SBF_Tonry_etal_2001,,0,,,ref,31.28,0.22,SBF_Tonry_etal_2001,,,,end,31.099709276520123,0.8960100520873981
SN2008ha,UGC 12682,,Ia,0.004647,,2,,'23:34:52.69,+18:13:35.4,0.209,0.0209,S_F_2011,23h34m53.2116s,18d13m36.8436s,98.567376,-40.994964,0.004647,Im,1393,2,1494,17,'2008-11-07,,done,5,,Foley  R. J.  et al. 2009  AJ  138  376,,,,,,31.401951759488604,0.797470658,HF,,,0,,,ref,,,ref,,,,end,31.401951759488604,0.7953304644423714
SN2008hs,NGC 910,,Ia,0.017369,,21,,'02:25:29.62,+41:50:35.1,0.154,0.0154,S_F_2011,2h25m26.772s,41d49m27.5s,141.108515,-17.705447,0.017369,E+,5207,21,5114,29,'2008-12-01,,done,4,,Brown  P. J. et al. 2012  ApJ  749  18,,,,,,34.26513406574725,0.397306918,HF,,,5,,,ref,,,ref,,,,end,34.26513406574725,0.39299349120894106
SN2008hv,NGC 2765,,Ia,0.012549,,23,,'09:07:34.06,+03:23:32.1,0.086,0.0086,S_F_2011,9h07m36.6442s,3d23m34.5156s,226.665164,31.624165,0.012549,S0,3762,20,4071,34,'2008-12-02,,done,9,,Brown  P. J. et al. 2012  ApJ  749  18,,,,,,33.559290133440584,0.438095913,HF,,,16,,,ref,,,ref,,,,end,33.559290133440584,0.43418789221581805
SN2008ij,NGC 6643,,II,0.00495,,17,,'18:19:51.81,+74:33:54.9,0.16,0.016,S_F_2011,18h19m46.37s,74d34m06.23s,105.535697,28.174695,0.00495,SA(rs)c,1484,1,1882,18,'2008-12-19,,done,24,,Pritchard  T. A.  et al. 2013  arXiv1303.1190,x,,,,,31.539365682083826,0.758059655,HF,,,7,,,ref,,,ref,,,,end,31.539365682083826,0.7558078704761702
SN2008in,NGC 4303,,IIP,0.005224,,8,,'12:22:01.77,+04:28:47.5,0.05,0,"Brown_walker_2020,S_F_2011",12h21m54.9275s,4d28m25.5883s,284.3706957,66.275675,0.005224,SAB(rs)bc;HII  Sy2,1566,2,994,34,'2008-12-26,,done,5,,Roy  R.  et al. 2011  ApJ  736  76,2454825.6,Roy_etal_2011,https://ui.adsabs.harvard.edu/abs/2011ApJ...736...76R/abstract,early light fitting,,31.65615496597841,0.726894207,HF,Roy_etal_2011,,6,,,ref,,,ref,,,,end,31.65615496597841,0.7245455714598468
SN2008iy,A160837+0416,,SLSN-II,0.0411,CSS080928160837+041626,3,31399,'16:08:37.23,+04:16:26.7,0.172,0.0172,S_F_2011,,,,,,,,,,,'2008-09-28,,GI12,7,all,Miller  A. A.  et al.  2010  MNRAS  404  305,,,,,,,,,,,1,,,ref,,,ref,,,,end,,
SN2008M,ESO 121-G26,,II ,0.007562,,6,,'06:21:41.28,-59:43:45.4,0.121,0.0121,S_F_2011,6h21m38.7258s,-59d44m23.7787s,268.865191,-26.871361,0.007562,SB(rs)c,2267,4,2221,21,'2008-01-15,,done,10,,Pritchard  T. A.  et al. 2013  arXiv1303.1190,x,,,,,32.459453778001375,0.561445054,HF,,,3,,,ref,,,ref,,,,end,32.459453778001375,0.5584009717636795
SN2008Q,NGC 524,,Ia,0.007935,,16,,'01:24:57.23,+09:33:01.5,0.222,0.0222,S_F_2011,1h24m47.707s,9d32m19.65s,136.505581,-52.451554,0.008016,SA(rs)0+,2403,5,2344,15,'2008-01-26,,done,7,,Milne  P. A.  et al. 2010  ApJ  721  1627,,,,,,31.74,0.2,SBF,SBF_Jensen_etal_2003,,12,,,ref,31.74,0.2,SBF_Jensen_etal_2003,,,,end,32.585965031388284,0.5389253201609461
SN2008S,NGC 6946,,IIn-Imp?,0.00016,,4,,'20:34:45.35,+60:05:57.8,0.917,0.0917,S_F_2011,20h34m52.332s,60d09m13.24s,95.7189315,11.6729771,0.000133,SAB(rs)cd;Sy2  HII,40,2,401,19,'2008-02-01,,done,5,,,,,,,,23.6924961340086,25.003661,HF,,,0,,,ref,,,ref,,,,end,23.6924961340086,25.003592829206458
SN2009aj,ESO 221-G18,,II,0.009618,,1,,'13:56:45.33,-48:29:36.2,0.394,0.0394,S_F_2011,13h56m45.0235s,-48d29m50.1118s,313.952725,12.972431,0.009618,Sa?,2883,8,4352,112,'2009-02-24,,done,,,,x,,,,,32.98141938930983,0.490987028,HF,,,1,,,ref,,,ref,,,,end,32.98141938930983,0.48750318846670077
SN2009an,NGC 4332,,Ia,0.009233,,13,,'12:22:47.40,+65:51:04.0,0.05,0.005,S_F_2011,12h22m46.82s,65d50m37.31s,127.586327,51.024785,0.009233,SB(s)a         HII,2768,28,3194,33,'2009-02-27,,done,14,,Milne  P. et al. 2013  arXiv:1308.2703,,,,,,32.89302660629239,0.503625489,HF,,,7,,,ref,,,ref,,,,end,32.89302660629239,0.5002296776820129
SN2009at,NGC 5301,,II,0.005014,,3,,'13:46:26.68,+46:06:08.7,0.046,0.0046,S_F_2011,13h46m24.609s,46d06m26.66s,96.699973,68.121083,0.005014,SA(s)bc: sp,1503,23,2071,34,'2009-03-11,,done,3,,Pritchard  T. A.  et al. 2013  arXiv1303.1190,x,,,,,31.56699108030333,0.754380272,HF,,,,,,ref,,,ref,,,,end,31.56699108030333,0.7521174719218717
SN2009au,ESO 443-G21,,IIn,0.009404,,1,,'12:59:46.00,-29:36:07.5,0.245,0.0245,S_F_2011,12h59m45.894s,-29d36m00.98s,305.096065,33.236567,0.009404,Scd: sp        HII,2819,8,2448,34,'2009-03-11,,done,8,,,x,,,,,32.932671556726795,0.496590419,HF,,,,,,ref,,,ref,,,,end,32.932671556726795,0.4931461659783641
SN2009ay,NGC 6479,,II,0.022182,,2,,'17:48:22.97,+54:08:54.7,0.095,0,"Brown_walker_2020,S_F_2011",17h48m21.5875s,54d08m56.4765s,81.949637,30.747427,0.022182,Sc,6650,43,7020,46,'2009-03-20,,done,4,,,x,,,,,34.79630440388431,0.379765029,HF,,,0,,,ref,,,ref,,,,end,34.79630440388431,0.37525001586816265
SN2009bb,NGC 3278,,Ic,0.009877,,6,,'10:31:33.92,-39:57:28.2,0.263,0.0263,S_F_2011,10h31m35.387s,-39d57m16.63s,275.821074,15.443059,0.009877,SA(s)c?        HII,2961,37,2912,44,'2009-03-21,,done,7,,Pignata  G.  et al. 2011  ApJ  728  14,JD 2454909.6,Pignata_etal_2011,https://ui.adsabs.harvard.edu/abs/2011ApJ...728...14P/abstract,,,33.03938821431528,0.488389404,HF,Pignata_etal_2011,,0,,,ref,,,ref,,,,end,33.03938821431528,0.48488690085385966
SN2009bw,UGC 2890,,II,0.003853,,6,,'03:56:06.92,+72:55:40.9,0.616,0.0616,S_F_2011,3h56m04.44s,72d55m18.5s,135.58522,14.763487,0.003853,Sdm pec:,1155,6,1420,16,'2009-03-27,,done,7,,Inserra  C.  et al. 2012MNRAS.422.1122I,,,,,,30.995106098509602,0.933192939,HF,,,3,,,ref,,,ref,,,,end,30.995106098509602,0.9313646750824014
SN2009cz,NGC 2789,,Ia,0.021138,,11,,'09:15:00.02,+29:44:07.1,0.07,0.007,S_F_2011,9h14m59.6639s,29d43m48.9141s,196.3683315,42.7798637,0.02116,S0/a,6344,3,6639,17,'2009-04-06,,done,6,,Milne  P. et al. 2013  arXiv:1308.2703,,,,,,34.69401204891652,0.381334295,HF,,,6,,,ref,,,ref,,,,end,34.69401204891652,0.37683808414155745
SN2009dc,UGC 10064,,Ia-SC,0.021391,,4,,'15:51:12.12,+25:42:28.0,0.16,0,"Brown_walker_2020,S_F_2011",15h51m13.2752s,25d42m06.784s,41.4356,49.937713,0.021391,S0,6413,21,7012,32,'2009-04-09,,done,5,,Silverman  J. M.  et al. 2011  MNRAS  410  585,,,,,,34.71750237695498,0.380981008,HF,,,5,,,ref,,,ref,,,,end,34.71750237695498,0.37648057768440757
SN2009dd,NGC 4088,,II,0.002524,,5,,'12:05:34.10,+50:32:18.6,0.053,0.0053,S_F_2011,12h05m34.2189s,50d32m21.0319s,140.335155,65.011157,0.002524,SAB(rs)bc      HII,757,1,1112,16,'2009-04-13,,fillin,9,,Pritchard  T. A.  et al. 2013  arXiv1303.1190,,,,,,30.07767557486915,1.365891053,HF,,,,,,ref,,,ref,,,,end,30.07767557486915,1.3646426145054948
SN2009dr,PTF09dh HOST,,SNIc,0.077,PTF09dh,,,14 44 42.0726,+49 43 45.1304,0.066,0.006600000000000001,S_F_2011,,,86.774158,58.690132,0.100000,,29979.0,0.0,30328.0,14.0,,,,,,,,,,,,38.066281888021294,,,,,,,,,,,,,,,,38.066281888021294,0.3438997485402465
SN2009gf,NGC 5525,,Ia,0.018523,,21,,'14:15:37.11,+14:16:48.6,0.068,0.0068,S_F_2011,14h15m39.236s,14d16m57.62s,3.951096,66.548265,0.018523,S0,5553,26,6213,43,'2009-06-15,,done,7,,,,,,,,34.40483454473162,0.39184329,HF,,,8,,,ref,,,ref,,,,end,34.40483454473162,0.3874690457670979
SN2009gj,NGC 134,,IIb,0.005277,,3,,'00:30:28.56,-33:12:56.0,0.03,0,"Brown_walker_2020,S_F_2011",0h30m21.893s,-33d14m43.26s,338.307087,-82.377976,0.005277,SAB(s)bc       HII,1582,3,1573,11,'2009-06-20,,done,5,,,,,,,,31.678228573177076,0.721261262,HF,,,0,,,ref,,,ref,,,,end,31.678228573177076,0.7188942239033771
SN2009hd,NGC 3627,,II,0.002425,,3,,'11:20:16.99,+12:58:46.3,0.07,0,"Brown_walker_2020,S_F_2011",11h20m15.026s,12d59m28.64s,241.9607728,64.4184756,0.002425,SAB(s)b;LINER  Sy2,727,3,477,13,'2009-07-02,,done,3,,,,,,,,29.989868231663976,1.418813853,HF,,,1,,,ref,,,ref,,,,end,29.989868231663976,1.4176120221514954
SN2009ig,NGC 1015,,Ia,0.00877,,35,,'02:38:11.62,-01:18:45.3,0.086,0.0086,S_F_2011,2h38m11.565s,-1d19m07.02s,172.188547,-53.65391,0.00877,SB(r)a:,2629,6,2534,11,'2009-08-20,,done,18,,Foley  R.  et al. 2012  ApJ  744  38 and Brown  P. J. et al. 2012  ApJ  749  18,,,,,,32.503,0.0815,Cepheid,Cepheids_Riess_etal_2016,,16,32.503,0.0815,Cepheids_Riess_etal_2016,,,ref,,,,end,32.7811491079006,0.511828120007712
SN2009ip,NGC 7259,,imp-IIn,0.005944,,119,,'22:23:08.3,-28:56:52,0.045,0,"Brown_walker_2020,S_F_2011",22h23m05.5451s,-28d57m17.4766s,20.887687,-57.34902,0.005944,Sb,1782,5,1886,13,'2009-08-26,,done,10,,Fraser  M.  et al. 2013  MNRAS  433  1312 and Pastorello  A.  et al 2013  ApJ  767  1 and Margutti  R.  et al. 2013arXiv1306.0038M,,,,,,31.936734675873065,0.660052079,HF,,,58,,,ref,,,ref,,,,end,31.936734675873065,0.6574647095094107
SN2009iz,UGC 2175,,Ib,0.014196,,4,,'02:42:15.41,+42:23:50.1,0.227,0.0227,S_F_2011,2h42m16.5466s,42d23m35.6808s,143.855619,-15.930837,0.014196,SAB(s)bc,4256,23,4194,29,'2009-09-19,,done,4,,,,,,,,33.827204273803744,0.420119889,HF,,,0,,,ref,,,ref,,,,end,33.827204273803744,0.4160430481978678
SN2009jb,A172341+3029,,Ia,0.03,PTF09dnl,3,,'17:23:41.76,+30:29:50.64,0.115,0.0115,S_F_2011,,,,,,,,,,,'2009-09-17,,done,7,,Milne  P. et al. 2013  arXiv:1308.2703,,,,,,,,,,,0,,,ref,,,ref,,,,end,,
SN2009jf,NGC 7479,,Ib,0.007942,,16,,'23:04:52.98,+12:19:59.5,0.303,0.0303,S_F_2011,23h04m56.668s,12d19m22.36s,86.270769,-42.841757,0.007942,SB(s)c;LINER   Sy2,2381,1,2458,17,'2009-09-27,,done,4,,Valenti  S.  et al. 2011   MNRAS  416  3138,55099,Valenti_etal_2011,https://ui.adsabs.harvard.edu/abs/2011MNRAS.416.3138V/abstract,tight non-detections,,32.56599315439318,0.544940938,HF,Valenti_etal_2011,,,,,ref,,,ref,,,,end,32.56599315439318,0.5418041369164679
SN2009jh,WISEA J144910.66+292510.6,,SLSN-I,0.35,PTF09cwl,,,14 49 10.1085,+29 25 11.6792,0.043,0.0043,S_F_2011,14h49m10.6848s,29d25m10.5312s,44.965613,64.043982,0.350000,Extended Src [SDSS],104927.0,0.0,105324.0,15.0,,,,,,,,,,,,40.78663245733614,,,,,,,,,,,,,,,,40.78663245733614,0.3424108613118189
SN2009jh,A144910+2925,,SLSN-I,0.349,PTF09cwl,1,,'14:49:10.09,+29:25:10.4,0.043,0.0043,S_F_2011,,,,,,,,,,,'2009-08-02,,done,4,u UV,,,,,,,,,,,,0,,,ref,,,ref,,,,end,,
SN2009jr,IC 1320,,Ia,0.016548,,7,,'20:26:26.03,+02:54:32.1,0.361,0.0361,S_F_2011,20h26m25.6801s,2d54m34.9513s,46.969956,-19.559956,0.016548,SB(s)b?,4961,18,5236,24,'2009-10-08,,done,4,,,,,,,,34.16004231254971,0.401900191,HF,,,0,,,ref,,,ref,,,,end,34.16004231254971,0.39763659335841495
SN2009kr,NGC 1832,,IIn/L?,0.006468,,4,,'05:12:03.30,-15:41:52.2,0.196,0.0196,S_F_2011,5h12m03.332s,-15d41m16.01s,216.612198,-28.902177,0.006468,SB(r)bc,1939,5,1912,12,'2009-11-06,,done,3,,Pritchard  T. A.  et al. 2013  arXiv1303.1190,,,,,,32.12008522276231,0.621857452,HF,,,7,,,ref,,,ref,,,,end,32.12008522276231,0.6191104807424997
SN2009ll,ESO 122-G4,,IIP,0.044537,,4,,'06:42:12.52,-61:04:27.2,0.28,0.028,S_F_2011,6h42m13.0986s,-61d04m14.7726s,270.817132,-24.607306,0.044537,SB(r)a,13352,45,13496,55,'2009-11-12,,done,3,,,,,,,,36.30992779572473,0.355607262,HF,,,0,,,ref,,,ref,,,,end,36.30992779572473,0.3507814443644912
SN2009lm,NGC 2980,,IIP,0.01908,,12,,'09:43:12.07,-09:36:19.9,0.141,0.0141,S_F_2011,9h43m11.96s,-9d36m44.64s,245.151949,31.442328,0.01908,SAB(s)c?       HII,5720,9,6123,38,'2009-11-17,,done,4,all 6,,,,,,,34.469176321333904,0.388830304,HF,,,0,,,ref,,,ref,,,,end,34.469176321333904,0.3844217765381159
SN2009mg,ESO 121-G26,,IIb,0.007562,,26,,'06:21:44.86,-59:44:26.0,0.121,0.0121,S_F_2011,6h21m38.7258s,-59d44m23.7787s,268.865191,-26.871361,0.007562,SB(rs)c,2267,4,2221,21,'2009-12-07,,done,4,,Oates  S. R.  et al. 2012  MNRAS  424  1297,,,,,,32.459453778001375,0.561445054,HF,,,0,,,ref,,,ref,,,,end,32.459453778001375,0.5584009717636795
SN2009mi,IC 2151,,Ic,0.010377,,2,,'05:52:38.23,-17:47:02.5,0.195,0.0195,S_F_2011,5h52m36.423s,-17d47m14.5s,222.886455,-20.759763,0.010377,(R':)SB(s)c,3111,10,3127,19,'2009-12-12,,done,6,,,x,,,,,33.146696232912305,0.473439846,HF,,,0,,,ref,,,ref,,,,end,33.146696232912305,0.46982590890111786
SN2009mk,ESO 293-G34,,IIb,0.005043,,20,,'00:06:21.37,-41:28:59.8,0.045,0.0045,S_F_2011,0h06m19.915s,-41d29m59.64s,332.820939,-72.908685,0.005043,SB(s)cd pec sp,1512,6,1510,12,'2009-12-15,,done,3,,,,,,,,31.579955133194723,0.747244748,HF,,,0,,,ref,,,ref,,,,end,31.579955133194723,0.7449602742385171
SN2009N,NGC 4487,,IIP,0.003449,,6,,'12:31:09.46,-08:02:56.3,0.056,0.0056,S_F_2011,12h31m04.4738s,-8d03m14.5454s,294.235246,54.473621,0.003456,SAB(rs)cd,1036,2,940,14,'2009-01-24,,done,,,Pritchard  T. A.  et al. 2013  arXiv1303.1190,x,,,,,30.75899495441486,1.025848853,HF,,,2,,,ref,,,ref,,,,end,30.75899495441486,1.0241860014689865
SN2009Y,NGC 5728,,Ia,0.009353,,36,,'14:42:23.68,-17:14:48.3,0.273,0.0273,S_F_2011,14h42m23.928s,-17d15m11.41s,337.3244597,38.0985382,0.009353,(R_1)SAB(r)a;HII Sy2,2804,20,3000,28,'2009-02-01,,done,,,,,,,,,32.92108622384189,0.499021556,HF,,,9,,,,,,ref,,,,end,32.92108622384189,0.4955941997130349
